Date,Volume
2016-12-25,1.08
2016-12-26,1.08
2016-12-27,0.72
2016-12-29,2.4
2016-12-30,2.16
2016-12-31,5.04
2017-01-01,1.44
2017-01-02,1.68
2017-01-03,1.56
2017-01-04,1.92
2017-01-05,1.8
2017-01-06,3.12
2017-01-07,1.2
2017-01-08,2.52
2017-01-09,3.6
2017-01-10,3.48
2017-01-11,4.68
2017-01-12,4.08
2017-01-13,3.6
2017-01-14,2.16
2017-01-15,4.8
2017-01-16,7.2
2017-01-17,6.36
2017-01-18,6.6
2017-01-19,9.96
2017-01-20,19.57
2017-01-21,19.93
2017-01-22,4.2
2017-01-23,4.32
2017-01-24,2.88
2017-01-25,4.08
2017-01-26,2.64
2017-01-27,3.0
2017-01-28,1.56
2017-01-29,3.36
2017-01-30,5.64
2017-01-31,4.08
2017-02-01,4.32
2017-02-02,3.36
2017-02-03,4.2
2017-02-04,2.76
2017-02-05,2.64
2017-02-06,2.28
2017-02-07,2.28
2017-02-08,2.64
2017-02-09,2.28
2017-02-10,3.12
2017-02-11,1.32
2017-02-12,1.92
2017-02-13,3.36
2017-02-14,2.88
